question,context
What is the blaTEM-135 gene?,"Penicillinase-producing Neisseria gonorrhoeae (PPNG) carrying the blaTEM-135 gene is of particular concern as it is considered a stepping stone towards resistance to extended spectrum cephalosporins. Here, we sought to characterise plasmid types and the occurrence of the blaTEM-135 gene for N. gonorrhoeae clinical isolates from Australia. We found that blaTEM-135 was prevalent in Australian PPNG and could be detected on all three major plasmid types."
What is the main reason for the differences in physiology?,"Determining the right dose for drugs used to treat neonates is critically important. Neonates have significant differences in physiology affecting drug absorption, distribution, metabolism, and elimination that makes extrapolating dosages from adults and older children inappropriate. In spite of recent legislative efforts requiring drug studies in this population, most drugs given to neonates remain insufficiently studied. Many ethical and logistical concerns make designing studies in this age group difficult. Fortunately, specialized analytical techniques, such as the use of dried blood spots, scavenged sampling, population pharmacokinetics analyses, and sparse sampling, have helped investigators better define doses that maximize efficacy and safety. Through the use of these methods, successful clinical trials have resulted in recent changes to drug dosing in this population.Pediatric Research (2014); doi:10.1038/pr.2014.143."
What is the underlying cause of PTU?,"BACKGROUND: Propylthiouracil (PTU), an anti-thyroid thioureylene, has been shown to be effective in chronic plaque psoriasis. Involucrin is a precursor protein that is upregulated in psoriasis. OBJECTIVES: This study evaluated the expression of involucrin in the epidermis of skin in psoriatic plaques before and after treatment with PTU. METHODS: This was an open-label, prospective study in which 25 psoriasis patients underwent skin biopsies prior to treatment with oral PTU 100 mg three times per day for 12 weeks. Patients were assessed at 2, 6, and 12 weeks. Skin biopsies were repeated at the same sites at 12 weeks. Pre- and post-treatment specimens were subjected to immunohistochemical staining and real-time polymerase chain reaction for involucrin. RESULTS: Mean +/- standard deviation (SD) scores on the Psoriasis Area and Severity Index reduced significantly from 17.86 +/- 9.9 at baseline to 4.63 +/- 4.1 at week 12 (P < 0.001). Histomorphometric analysis revealed marked decreases in numbers of positively stained cells and intensity of staining. Staining became localized to the upper granular layers after therapy. Immunohistochemical scoring for involucrin reduced from a mean +/- SD of 9.00 +/- 0.67 at baseline to 3.90 +/- 0.88 at week 12 (P < 0.0001). CONCLUSIONS: In psoriasis, there is increased expression of involucrin, which leads to abnormal keratinocyte differentiation and hence to the formation of psoriatic plaques. The therapeutic effect of PTU in psoriasis may be attributable to the downregulation of involucrin. Larger trials should further elucidate the mechanism and therapeutic potential of PTU in psoriasis."
What is the urinary Bladder?,Pseudocarcinomatous Hyperplasia of the Urinary Bladder.
What is the effect of oral supplementation on the respiratory burst function of innate immune,Does oral supplementation of a fermented papaya preparation correct respiratory burst function of innate immune cells in type 2 diabetes mellitus patients?
What is the name of the major Markers of Cardiovascular Risk?,Physical Activity and Cardiorespiratory Fitness as Major Markers of Cardiovascular Risk: Their Independent and Interwoven Importance to Health Status.
What is the CXCL12 G801A polymorphism?,"BACKGROUND: CXCL12 is a small chemotactic cytokine belonging to the CXC chemokine family expressed in various organs. It contributes to the migration, invasion and angiogenesis of cancer cells. Recently, the CXCL12 G801A polymorphism was shown to be associated with an increased risk of various kinds of cancers, but the results were too inconsistent to be conclusive. METHODS: To solve the problem of inadequate statistical power and conflicting results, a meta-analysis of published case-control studies was performed, including 4,435 cancer cases and 6,898 controls. Odds ratios (ORs) and their 95% confidence intervals (CIs) were used to determine the strength of association between CXCL12 G801A polymorphism and cancer risk. RESULTS: A significant association between CXCL12 G801A polymorphism and cancer risk was found under all genetic models. Further, subgroup analysis stratified by ethnicity suggested a significant association between CXCL12 G801A polymorphism and cancer risk in the Asian subgroup under all genetic models. However, in the Caucasian subgroup, a significant association was only found under an additive genetic model and a dominant genetic model. The analysis stratified by cancer type found that CXCL12 G801A polymorphism may increase the risk of breast cancer, lung cancer, and ""other"" cancers. Based on subgroup stratified by source of controls, a significant association was observed in hospital-based studies under all genetic models. CONCLUSIONS: The CXCL12 G801A polymorphism is associated with an increased risk of cancer based on current published data. In the future, large-scale well-designed studies with more information are needed to better estimate possible gene-gene or gene-environment interactions."
What was the effect of saikosaponin-d on the proliferation of,"OBJECTIVE: Saikosaponin-d is a triterpene saponin derived from Bupleurum falcatum. L and has been reported to exhibit a variety of pharmacological activities such as anti-bacterial, anti-virus and anti-cancer. The aim of the present study was to explore the effect of saikosaponin-d on the proliferation and apoptosis of human undifferentiated thyroid carcinoma. MATERIALS AND METHODS: Three human anaplastic thyroid cancers cell lines were cultured in the presence of saikosaponin-d and their proliferation was measured by MTT assay. Cell apoptosis and cell cycle distribution were analyzed with flow cytometry. Western blot was performed to determine the proteins expression. The in vivo effect of saikosaponin-d was measured with an animal model. RESULTS: In vitro, MTT assay showed that saikosaponin-d treatment inhibited cell proliferation in three human anaplastic thyroid cancers cell lines ARO, 8305C and SW1736. In addition, saikosaponin-d promoted cell apoptosis and induced G1-phase cell cycle arrest as shown by flow cytometric analysis. On the molecular level, our results showed that saikosaponin-d treatment increased the expression of p53 and bax, and decreased the expression of Bcl-2. In addition, saikosaponin-d administration led to a significant up-regulation of p21 and down-regulation of CDK2 and cyclin D1. Xenografts tumorigenesis model demonstrated that saikosaponin-d markedly reduced the weight and volume of thyroid tumors in vivo. CONCLUSIONS: The present study suggested that saikosaponin-d might be a new potent chemopreventive drug candidate for human undifferentiated thyroid carcinoma through induction of apoptosis and cell cycle arrest."
What was the primary outcome of the trial?,"Importance: There is debate about benefits of acupuncture for knee pain. Objective: To determine the efficacy of laser and needle acupuncture for chronic knee pain. Design, Setting, and Participants: Zelen-design clinical trial (randomization occurred before informed consent), in Victoria, Australia (February 2010-December 2012). Community volunteers (282 patients aged >/=50 years with chronic knee pain) were treated by family physician acupuncturists. Interventions: No acupuncture (control group, n = 71) and needle (n = 70), laser (n = 71), and sham laser (n = 70) acupuncture. Treatments were delivered for 12 weeks. Participants and acupuncturists were blinded to laser and sham laser acupuncture. Control participants were unaware of the trial. Main Outcomes and Measures: Primary outcomes were average knee pain (numeric rating scale, 0 [no pain] to 10 [worst pain possible]; minimal clinically important difference [MCID], 1.8 units) and physical function (Western Ontario and McMaster Universities Osteoarthritis Index, 0 [no difficulty] to 68 [extreme difficulty]; MCID, 6 units) at 12 weeks. Secondary outcomes included other pain and function measures, quality of life, global change, and 1-year follow-up. Analyses were by intention-to-treat using multiple imputation for missing outcome data. Results: At 12 weeks and 1 year, 26 (9%) and 50 (18%) participants were lost to follow-up, respectively. Analyses showed neither needle nor laser acupuncture significantly improved pain (mean difference; -0.4 units; 95% CI, -1.2 to 0.4, and -0.1; 95% CI, -0.9 to 0.7, respectively) or function (-1.7; 95% CI, -6.1 to 2.6, and 0.5; 95% CI, -3.4 to 4.4, respectively) compared with sham at 12 weeks. Compared with control, needle and laser acupuncture resulted in modest improvements in pain (-1.1; 95% CI, -1.8 to -0.4, and -0.8; 95% CI, -1.5 to -0.1, respectively) at 12 weeks, but not at 1 year. Needle acupuncture resulted in modest improvement in function compared with control at 12 weeks (-3.9; 95% CI, -7.7 to -0.2) but was not significantly different from sham (-1.7; 95% CI, -6.1 to 2.6) and was not maintained at 1 year. There were no differences for most secondary outcomes and no serious adverse events. Conclusions and Relevance: In patients older than 50 years with moderate or severe chronic knee pain, neither laser nor needle acupuncture conferred benefit over sham for pain or function. Our findings do not support acupuncture for these patients. Trial Registration: anzctr.org.au Identifier: ACTRN12609001001280."
What is the utility of Routine Post-Therapy Surveillance Imaging in D,Utility of Routine Post-Therapy Surveillance Imaging in Diffuse Large B-Cell Lymphoma.
